NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B25075_001E,B25026_002E,B25026_008E,B25026_007E,B25026_006E,B25026_006E,B25026_004E,B25026_003E,B25077_001E,B25075_025E,B15003_022E,B17001_001E,B19001_017E,B19013_001E
"Navajo County, Arizona",0500000US04017,108209.0,35.8,51614.0,23796.0,71980.0,8371.0,9889.0,16316.0,16316.0,10795.0,1330.0,106100.0,58.0,5990.0,105589.0,470.0,36868.0
"Pima County, Arizona",0500000US04019,1003338.0,38.1,775748.0,242399.0,612005.0,39242.0,49289.0,116242.0,116242.0,134962.0,18190.0,160800.0,1530.0,117924.0,976120.0,13067.0,46764.0
"Pinal County, Arizona",0500000US04021,397604.0,38.3,317989.0,94847.0,255790.0,8354.0,8739.0,23488.0,23488.0,77735.0,9833.0,142200.0,305.0,32073.0,372918.0,2585.0,51190.0
"Santa Cruz County, Arizona",0500000US04023,46547.0,36.4,39587.0,10288.0,30883.0,1946.0,2656.0,6445.0,6445.0,6213.0,427.0,135200.0,123.0,4333.0,46131.0,294.0,38941.0
"Yavapai County, Arizona",0500000US04025,218586.0,51.9,201048.0,65515.0,145764.0,3941.0,7823.0,27066.0,27066.0,40356.0,5619.0,199300.0,596.0,25781.0,214690.0,2168.0,46638.0
"Yuma County, Arizona",0500000US04027,203292.0,34.0,147979.0,47826.0,133603.0,5550.0,6833.0,24687.0,24687.0,30838.0,3447.0,113400.0,91.0,11922.0,196959.0,1272.0,41467.0
"Arkansas County, Arkansas",0500000US05001,18569.0,41.2,13483.0,4967.0,11712.0,1795.0,1299.0,2445.0,2445.0,2160.0,157.0,77600.0,0.0,1276.0,18266.0,210.0,37330.0
"Ashley County, Arkansas",0500000US05003,20989.0,41.5,15049.0,6263.0,15360.0,2417.0,1956.0,3162.0,3162.0,2717.0,225.0,70900.0,48.0,1330.0,20749.0,116.0,36352.0
"Baxter County, Arkansas",0500000US05005,40992.0,51.8,39668.0,13608.0,30162.0,1327.0,2041.0,5810.0,5810.0,5551.0,694.0,123100.0,45.0,3869.0,40473.0,275.0,38115.0
"Benton County, Arkansas",0500000US05007,245231.0,35.1,216485.0,58924.0,164159.0,4490.0,7927.0,24171.0,24171.0,41270.0,7125.0,155900.0,324.0,32516.0,242200.0,5119.0,59016.0
"Boone County, Arkansas",0500000US05009,37301.0,42.4,36003.0,10714.0,25848.0,2299.0,1562.0,4437.0,4437.0,5535.0,771.0,114400.0,4.0,2542.0,36681.0,412.0,38664.0
"Bradley County, Arkansas",0500000US05011,11096.0,40.9,6833.0,2936.0,6943.0,1103.0,644.0,1410.0,1410.0,876.0,54.0,72500.0,11.0,798.0,10973.0,61.0,34665.0
"Calhoun County, Arkansas",0500000US05013,5210.0,44.9,3992.0,1700.0,4078.0,503.0,554.0,799.0,799.0,609.0,7.0,71800.0,0.0,312.0,5057.0,12.0,35446.0
"Carroll County, Arkansas",0500000US05015,27690.0,44.4,25856.0,8266.0,20182.0,1044.0,1721.0,4258.0,4258.0,4652.0,974.0,118500.0,0.0,2157.0,27397.0,171.0,38145.0
"Chicot County, Arkansas",0500000US05017,11189.0,43.7,4778.0,2902.0,6615.0,1214.0,763.0,1187.0,1187.0,1108.0,186.0,59600.0,0.0,718.0,10517.0,76.0,29628.0
"Clark County, Arkansas",0500000US05019,22684.0,33.6,16387.0,5544.0,12959.0,1020.0,1186.0,2634.0,2634.0,1909.0,303.0,92700.0,9.0,2010.0,19833.0,130.0,35595.0
"Clay County, Arkansas",0500000US05021,15202.0,44.0,14632.0,4683.0,11047.0,1261.0,1136.0,2587.0,2587.0,1895.0,211.0,66700.0,0.0,775.0,15032.0,56.0,32404.0
"Cleburne County, Arkansas",0500000US05023,25587.0,47.9,24850.0,7802.0,19142.0,1441.0,1149.0,4695.0,4695.0,3849.0,386.0,126100.0,9.0,1817.0,25183.0,278.0,41717.0
"Cleveland County, Arkansas",0500000US05025,8421.0,42.5,7299.0,2519.0,6218.0,840.0,534.0,1468.0,1468.0,806.0,81.0,84000.0,0.0,594.0,8335.0,52.0,42429.0
"Columbia County, Arkansas",0500000US05027,24168.0,36.0,14506.0,6296.0,15486.0,1947.0,1367.0,2503.0,2503.0,2818.0,500.0,77100.0,0.0,2240.0,22375.0,99.0,36507.0
"Conway County, Arkansas",0500000US05029,21060.0,41.0,17959.0,6069.0,15466.0,2066.0,1532.0,2682.0,2682.0,2858.0,57.0,100300.0,0.0,1641.0,20823.0,204.0,38266.0
"Craighead County, Arkansas",0500000US05031,102884.0,33.9,83094.0,23001.0,59097.0,3506.0,3890.0,10657.0,10657.0,15998.0,982.0,131700.0,94.0,10543.0,98732.0,1093.0,43892.0
"Crawford County, Arkansas",0500000US05033,61927.0,38.8,55876.0,17991.0,46731.0,3284.0,4019.0,9573.0,9573.0,8635.0,899.0,109500.0,0.0,3906.0,61197.0,372.0,41792.0
"Crittenden County, Arkansas",0500000US05035,49511.0,34.7,22338.0,10565.0,27654.0,2768.0,1834.0,5437.0,5437.0,5261.0,518.0,102800.0,10.0,3688.0,48771.0,320.0,39407.0
"Cross County, Arkansas",0500000US05037,17329.0,40.3,12940.0,4424.0,11429.0,1657.0,600.0,2230.0,2230.0,2390.0,159.0,83900.0,7.0,1047.0,17025.0,148.0,39306.0
"Dallas County, Arkansas",0500000US05039,7738.0,43.4,4256.0,2162.0,4888.0,728.0,698.0,759.0,759.0,767.0,140.0,61000.0,0.0,503.0,7157.0,6.0,35745.0
"Desha County, Arkansas",0500000US05041,12234.0,39.3,5993.0,2925.0,6966.0,1033.0,576.0,1480.0,1480.0,1233.0,81.0,58800.0,0.0,726.0,12064.0,52.0,26519.0
"Drew County, Arkansas",0500000US05043,18688.0,36.8,12728.0,4453.0,11103.0,1084.0,1353.0,3057.0,3057.0,2111.0,38.0,94200.0,28.0,1572.0,17490.0,60.0,33092.0
"Faulkner County, Arkansas",0500000US05045,120417.0,31.9,100659.0,27050.0,75244.0,3288.0,4355.0,12719.0,12719.0,19227.0,1933.0,149900.0,97.0,13492.0,115514.0,1086.0,50872.0
